7.470817120622567920e-02,5.214007782101167526e-02,1.657587548638132235e-01,1.035019455252918219e-01,7.859922178988326680e-02,1.556420233463035041e-01,6.459143968871595975e-02,2.645914396887159500e-02,1.929961089494163506e-01,8.560311284046692726e-02
1.105706874189364419e-01,5.901426718547340966e-02,1.517509727626459026e-01,9.695201037613489226e-02,1.507782101167315092e-01,1.462386511024643398e-01,6.582360570687419143e-02,5.804150453955901623e-02,4.345006485084305925e-02,1.173800259403372237e-01
7.522697795071335569e-02,7.565931690445308611e-02,2.062256809338521291e-01,1.418071768266320754e-01,9.468223086900129370e-02,9.641158668396022924e-02,4.842196281884997983e-02,4.798962386511024941e-02,1.789883268482490297e-01,3.458711629917855801e-02
1.815823605706874122e-01,1.108949416342412397e-01,8.949416342412451486e-02,1.050583657587548653e-01,1.329442282749675741e-01,6.939040207522698123e-02,4.863813229571984503e-02,5.123216601815823446e-02,1.199740596627756201e-01,9.079118028534370610e-02
7.738867271941202164e-02,1.988759187202766843e-02,1.664504971897967922e-01,9.338521400778210246e-02,1.288370082144401074e-01,1.245136186770428033e-01,1.348897535667963610e-01,7.868568958063121288e-02,1.392131431041936929e-01,3.674881106787721702e-02
1.387808041504539625e-01,5.836575875486381404e-02,1.958495460440985714e-01,1.063553826199740565e-01,1.361867704280155522e-01,1.076523994811932616e-01,6.095979247730220346e-02,5.577172503242542462e-02,2.075226977950713272e-02,1.193255512321660244e-01
8.706225680933851740e-02,6.274319066147859836e-02,1.347276264591439621e-01,9.776264591439688678e-02,6.274319066147859836e-02,1.556420233463035041e-01,1.819066147859922100e-01,7.636186770428016191e-02,1.050583657587548653e-01,3.599221789883268185e-02
1.133963312951639796e-01,9.282934963868816336e-02,6.781545302946080656e-02,1.372984991662034582e-01,1.289605336297943439e-01,1.111728738187882093e-01,4.836020011117287548e-02,6.058921623123957739e-02,1.361867704280155522e-01,1.033907726514730341e-01
6.342412451361867376e-02,8.404669260700389777e-02,1.564202334630350189e-01,5.680933852140077761e-02,8.949416342412451486e-02,9.299610894941634509e-02,1.984435797665369539e-01,3.463035019455253105e-02,2.019455252918287980e-01,2.178988326848248919e-02
1.297016861219195960e-01,8.657587548638132069e-02,1.271076523994811858e-01,7.944228274967574110e-02,1.666666666666666574e-01,1.151102464332036251e-01,4.215304798962386801e-02,7.879377431906614548e-02,5.609597924773022243e-02,1.183527885862516171e-01
